X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
Parsnip,J,F,M,.,.,.,J,A,S,O,N,D
Peanut,.,.,.,.,.,.,.,.,.,.,.,D
Peas,.,.,.,A,M,J,J,A,S,.,.,.
Potato,.,.,.,.,.,.,.,A,S,O,N,D
Pumpkin,J,F,.,.,.,.,.,.,S,O,N,D
Quinoa,.,F,.,.,.,.,.,.,.,O,N,D
Radicchio,.,.,.,.,.,.,.,.,S,O,N,D
Radish,J,F,M,A,M,J,J,A,S,O,N,D
Rhubarb,.,.,.,.,.,.,.,.,S,O,N,D
Rocket,J,F,M,A,M,.,.,A,S,O,N,D
Rockmelon,J,F,M,.,.,.,.,.,S,O,N,D
Rosemary,.,.,.,.,.,.,.,.,.,O,N,.
Rutabaga,J,F,M,A,.,.,.,.,.,.,.,D
Sage,.,.,.,.,.,.,.,.,S,O,N,D
Salsify,J,F,M,A,M,.,.,.,S,O,N,D
Savory/Bean Herb,.,.,.,.,.,.,.,.,S,O,N,.
Scallions,D,F,.,.,.,.,J,A,S,O,N,.
Shallots,.,F,M,A,M,J,J,A,S,O,.,.
Silverbeet,J,F,M,A,M,.,.,.,S,O,N,D
Snow Peas,.,.,.,A,M,J,J,A,S,.,.,.
Southern peas,.,.,.,.,.,.,.,.,.,O,N,D
Spinach,.,F,M,A,M,.,.,A,S,.,.,.
Spring onions,D,F,.,.,.,.,J,A,S,O,N,D
Squash,J,F,.,.,.,.,.,.,S,O,N,D
Strawberry plants,.,.,.,.,.,J,J,.,.,.,.,.
Strawberry seeds,.,.,.,.,.,J,J,A,.,.,.,.
Sugar/Snap Peas,.,.,.,A,M,J,J,A,S,.,.,.
Summer squash,J,F,.,.,.,.,.,.,S,O,N,D
Sunchoke,.,F,M,A,M,J,J,A,S,O,N,D
Sunflower,J,.,.,.,.,.,.,A,S,O,N,D
Swedes,J,F,M,A,M,.,.,.,.,.,.,.
Sweet corn,J,F,.,.,.,.,.,.,S,O,N,D
Sweet Marjoram,.,.,.,.,.,.,.,.,.,O,N,D
Sweet peppers,.,.,.,.,.,.,.,A,S,O,N,.
Sweet Potato/ Kumara,J,F,.,.,.,.,.,.,.,O,N,D
Swiss Chard,J,F,M,A,M,.,.,.,S,O,N,D
Taro,.,.,.,.,.,.,.,.,.,.,.,D
Thyme,.,.,.,.,.,.,.,A,S,O,N,.
Tomatillo,.,.,.,.,.,.,.,.,S,O,N,.
Tomato,J,F,.,.,.,.,.,A,S,O,N,D
Tumeric,.,.,.,.,.,.,.,.,.,.,.,.
Turnip,J,F,M,A,M,.,.,.,S,O,N,D
